smiles,pki_cb1,pki_cb2,diff,cb1
O=C(c1c2ccccc2n(CCCCCC)c1C)c3cccc4ccccc43,"7,32","8,40","-1,08",0
O=C(c1c2ccccc2n(CCCCC)c1)c3cccc4ccc(OC)cc43,"8,18","8,16","0,02",0
Fc1ccc(C(=O)c2c3ccccc3n(CCCCC)c2C)c4ccccc14,"7,85","8,66","-0,81",0
O=C(c1c2ccccc2n(n1)CCCCC)c3cccc4ccccc43,"8,23","8,34","-0,11",0
FCCCCCn1c2ccccc2c(n1)C(=O)NC34CC5CC(C3)CC(C4)C5,"8,71","9,58","-0,87",0
Fc1ccc(Cn2c3ccccc3c(n2)C(=O)N[C@@H](C(C)C)C(OC)=O)cc1,"8,00","9,10","-1,10",0
F[C@@H](Cn1cc(C(=O)C2C(C2(C)C)(C)C)c3ccccc31)CCC,"7,23","8,74","-1,51",0
O=C(c1cn(CCCCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,96","8,15","-0,19",0
Clc1cccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)c1,"7,15","7,80","-0,65",0
FC(F)(F)c1ccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)cc1,"6,66","7,28","-0,62",0
O=C(c1cn(CCCCC)c(-c2ccc(CC)cc2)c1)c3cccc4ccccc43,"7,47","7,54","-0,07",0
O=C(c1cn(c(-c2ccccc2C)c1)CCCCC)c3cccc4ccccc43,"8,25","8,40","-0,15",0
O=C(c1cn(c2ccccc21)CCC)c3ccc(c4ccccc43)CCC,"7,59","8,02","-0,43",0
O=C(c1c2ccccc2n(CCCCC)c1C)Cc3ccc(C)cc3,"6,13","5,87","0,26",1
Fc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2C,"7,41","7,12","0,29",1
ClCCCCCn1c2ccccc2c(n1)C(=O)N[C@@H](C(C)C)C(=O)N,"8,39","7,92","0,47",1
FCCCCCn1c2ccccc2c(n1)C(=O)N[C@H](Cc3ccccc3)C(=O)N,"6,90","7,76","-0,86",0
O=C(Oc1cccc2cccnc21)c3c4ccccc4n(CC5CCCCC5)c3,"9,66","9,47","0,19",1
O=C(C1C(C1(C)C)(C)C)c2c3ccccc3n(CC4CCOCC4)c2,"7,60","9,25","-1,65",0
O=C(N)[C@@H](NC(=O)c1c2ccccc2n(n1)CCCCC)C(C)C,"8,54","9,06","-0,52",0
FCCCCCn1cc(c2ccccc21)C(=O)c3ccc(F)c4ccccc43,"9,07","8,72","0,35",1
Clc1ccc(C(=O)c2c3ccccc3n(CCCCC)c2C)c4ccccc14,"8,05","8,64","-0,59",0
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(c4ccccc34)CCC,"7,28","7,92","-0,64",0
O=C(c1c2ccccc2n(CCCCC)c1)c3ccccc3OC,"7,58","8,54","-0,96",0
O=C(c1cn(c(-c2ccccc2CC)c1)CCCCC)c3cccc4ccccc43,"7,77","8,47","-0,70",0
O=C(c1c2ccccc2n(CCCCC)c1)c3cccc4ccc(CC)cc34,"8,08","8,42","-0,34",0
O=C(c1c2ccccc2n(CCCC)c1C)c3cccc4ccccc43,"7,66","8,37","-0,71",0
Clc1ccccc1-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43,"8,10","8,28","-0,18",0
O=C(c1cn(CCCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,85","8,19","-0,34",0
O=C(c1c2ccccc2n(CCCC)c1C)c3ccc(OC)c4ccccc43,"7,47","7,88","-0,41",0
O=C(OC)[C@H](NC(=O)c1c2ccccc2n(CCCCC)c1)C(C)C,"7,82","7,85","-0,03",0
O=C(c1c2ccccc2n(CCCCCC)c1C)c3ccc(OC)c4ccccc43,"7,45","7,75","-0,30",0
Clc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2C,"7,89","7,60","0,29",1
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(c4ccccc34)CC,"7,15","7,92","-0,77",0
Brc1ccc(C(=O)c2c3ccccc3n(c2C)CCC)c4ccccc14,"6,43","7,51","-1,08",0
O=C(Cc1ccccc1OC)c2c3ccccc3n(CCCCC)c2,"7,96","7,48","0,48",1
O=C(c1cn(CCCCC)c(-c2ccc(OC)cc2)c1)c3cccc4ccccc43,"6,55","7,39","-0,84",0
O=C(c1cc(n(CCCCC)c1)-c2cccc3ccccc32)c4cccc5ccccc54,"7,39","7,31","0,08",0
O=C(c1cn(CCCCCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,68","7,21","0,47",1
FC(F)(F)c1cccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)c1,"6,61","7,15","-0,54",0
O=C(c1c2ccccc2n(CCCCC)c1C)Cc3cccc(OC)c3,"7,21","7,08","0,13",1
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(OC)c4ccccc43,"6,32","7,01","-0,69",0
O=C(c1c2ccccc2n(CCCCC)c1C)Cc3ccccc3,"6,91","6,74","0,17",1
O=C(c1c2ccccc2n(c1CCCCC)CCCC)c3ccc(OC)c4ccccc43,"6,85","6,51","0,34",1
O=C(c1cn(c2ccccc21)CCC)c3ccc(c4ccccc34)CC,"7,48","8,00","-0,52",0
Clc1ccc(CC(=O)c2c3ccccc3n(CCCCC)c2)cc1,"6,41","6,30","0,11",1
Fc1ccc(CC(=O)c2c3ccccc3n(CCCCC)c2C)cc1,"5,54","6,11","-0,57",0
Clc1ccc(CC(=O)c2c3ccccc3n(CCCCC)c2C)cc1,"5,80","5,43","0,37",1
O=C(c1c2ccccc2n(c1C)CCC)c3cccc4ccccc43,"6,47","7,86","-1,39",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3cccc4ccc(cc43)C,"7,97","9,31","-1,34",0
O=C(c1cn(c2ccccc21)CC)c3cccc4ccccc43,"5,87","5,53","0,34",1
O=C(c1c2ccccc2n(CCC)c1)c3cccc4ccc(cc34)C,"6,67","6,97","-0,30",0
O=C(c1cn(c2ccccc21)CC)c3ccc(OC)c4ccccc43,"6,09","6,20","-0,11",0
O=C(c1c2ccccc2n(CCC)c1)c3cccc4ccc(CC)cc34,"6,47","6,91","-0,44",0
Fc1ccccc1-n2c3ccccc3c(n2)C(Oc4ccc5ccccc5c4)=O,"5,00","6,37","-1,37",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3ccc(c4ccccc34)CC,"8,82","9,38","-0,56",0
O=C(Nc1ccccc1)c2cn(CCCCC)c3ccccc32,"6,79","6,56","0,23",1
FCCCCCn1cc(c2ccccc21)C(=O)NC(c3ccccc3)(C)C,"7,30","7,10","0,20",1
O=C(C1C(C1(C)C)(C)C)c2c3ccccc3n(CCCCC)c2,"7,25","8,83","-1,58",0
FCCCCCn1c(c(C(=O)C2C(C2(C)C)(C)C)c3ccccc31)C,"7,71","8,34","-0,63",0
Fc1cccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)c1,"7,80","8,04","-0,24",0
O=C(c1c2ccccc2n(CCCCC)c1)Cc3ccccc3,"7,05","6,80","0,25",1
O=C(c1c2ccccc2n(CCCCC)c1)Cc3cccc(OC)c3,"7,77","7,05","0,72",1
Oc1cc(CCCCC)cc2c1-c3cc(ccc3C(O2)(C)C)C,"6,51","7,02","-0,51",0
Fc1ccc(Cn2cc(c3ccccc32)C(=O)c4cccc5ccccc54)cc1,"8,49","8,87","-0,38",0
Fc1ccc(Cn2cc(c3ccccc32)C(=O)Nc4cccc5ccccc54)cc1,"8,13","7,19","0,94",1
O=C(c1c2ccccc2n(CCC)c1C)c3cccc4ccc(CC)cc43,"5,87","6,62","-0,75",0
Fc1ccc(Cn2c3ccccc3c(n2)C(=O)N[C@@H](C(C)(C)C)C(=O)N)cc1,"9,44","9,47","-0,03",0
O=C(N[C@@H](Cc1ccccc1)C(=O)N)c2c3ccccc3n(n2)CC4CCCCC4,"8,01","8,36","-0,35",0
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(c4ccccc43)C,"6,91","7,85","-0,94",0
Clc1cccc(CC(=O)c2c3ccccc3n(CCCCC)c2)c1,"7,42","6,97","0,45",1
Fc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2,"7,64","7,41","0,23",1
FCCCCCn1cc(c2ccccc21)C(=O)Nc3ccc4ccccc4c3,"6,63","6,65","-0,02",0
O=C(c1cn(CCCCC)c2ccccc21)c3ccc(c4ccccc43)CCC,"9,19","8,96","0,23",1
O=C(N)[C@@H](NC(=O)c1c2ccccc2n(n1)CC3CCCCC3)C(C)C,"9,11","9,35","-0,24",0
O=C(c1cn(c2ccccc21)CCC)c3ccc(CCCC)c4ccccc34,"6,47","7,28","-0,81",0
Fc1ccc(Cn2cc(c3ccccc32)C(Oc4cccc5ccccc45)=O)cc1,"8,92","8,61","0,31",1
O=C(c1c2ccccc2n(c1C)CCC)c3ccc(CCCC)c4ccccc34,"6,83","7,31","-0,48",0
FC(F)(F)CCCCc1cc(O)c2c(OC([C@@H]3CC=C(C[C@@H]23)C)(C)C)c1,"7,70","7,52","0,18",1
FCCCCCn1c2ccccc2c(n1)C(=O)N[C@@H](C(C)(C)C)C(=O)N,"8,84","9,16","-0,32",0
O=C(NC12CC3CC(C1)CC(C2)C3)c4c5ccccc5n(CCCCC)c4,"8,19","8,91","-0,72",0
O=C(c1cn(CCCCC#N)c2ccccc21)c3cccc4ccccc43,"9,55","8,83","0,72",1
O=C(c1cn(CCCCC)c2ccccc21)c3ccc(OCC)c4ccccc43,"8,34","7,98","0,36",1
FCCCCCn1c(nc2ccccc21)C(=O)c3cccc4ccccc43,"6,53","7,63","-1,10",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3cccc4ccc(CC)cc43,"7,55","8,25","-0,70",0
Clc1ccc(C(=O)c2c3ccccc3n(c2C)CCC)c4ccccc14,"6,73","7,66","-0,93",0
O=C(c1cn(CCCCC)c2ccccc21)c3cccc4ccccc43,"8,05","8,53","-0,48",0
Clc1ccc(c2ccccc12)C(=O)c3cn(c4ccccc43)CCC,"7,03","7,36","-0,33",0
Fc1ccc(c2ccccc12)C(=O)c3cn(c4ccccc43)CCC,"6,62","7,48","-0,86",0
Fc1ccc(C(=O)c2c3ccccc3n(c2C)CCC)c4ccccc14,"6,28","7,42","-1,14",0
FCCCCCn1cc(c2ccccc21)C(=O)c3ccc(c4ccccc43)C,"8,80","9,24","-0,44",0
F[C@@H](CCCn1cc(c2ccccc21)C(=O)c3ccc(c4ccccc43)C)C,"8,49","9,09","-0,60",0
FCCCCCn1cc(c2ccccc21)C(=O)c3ccc(c4ccccc34)CC,"9,42","9,43","-0,01",0
FCCCCCn1c2ccccc2c(n1)C(=O)c3cccc4ccccc43,"8,87","8,88","-0,01",0
FCCCCCn1cc(c2ccccc21)C(Oc3cccc4cccnc43)=O,"9,33","9,20","0,13",1
O=C(c1c(n(c2ccccc21)C)C)c3cccc4ccccc43,"5,00","5,30","-0,30",0
FCCCCCn1c2ccccc2c(n1)C(Oc3cccc4ccccc34)=O,"8,59","8,47","0,12",1
FCCCCCn1cc(c2ccccc21)C(=O)NC34CC5CC(C3)CC(C4)C5,"8,60","9,10","-0,50",0
O=C(NCc1ccccc1)c2c3ccccc3n(CCCCC)c2,"7,28","6,73","0,55",1
FCCCCCn1cc(c2ccccc21)C(=O)NCc3ccccc3,"7,14","6,37","0,77",1
O=C(Nc1cccc2ccccc21)c3cn(CCCCC)c4ccccc43,"8,74","7,66","1,08",1
FCCCCCn1cc(c2ccccc21)C(=O)Nc3cccc4ccccc43,"8,43","7,87","0,56",1
ClCCCCCn1cc(c2ccccc21)C(=O)Nc3cccc4ccccc43,"8,43","7,87","0,56",1
Fc1ccc(Cn2c3ccccc3c(n2)C(=O)NC45CC6CC(C4)CC(C5)C6)cc1,"8,97","9,76","-0,79",0
O=C(Nc1cccc2ccccc21)c3c4ccccc4n(n3)CCCCC,"8,41","8,46","-0,05",0
O=C(c1c2ccccc2n([C@H](CCCCC)C)c1C)c3cccc4ccccc43,"7,32","8,40","-1,08",0
O=C(c1c2ccccc2n(CCCC)c1C)c3cccc4ccc(cc43)C,"7,23","8,46","-1,23",0
Brc1cccc2cccc(c12)C(=O)c3cn(CCCCC)c4ccccc43,"7,68","8,26","-0,58",0
Fc1ccc(Cn2c3ccccc3c(n2)C(=O)N[C@@H](C(C)(C)C)C(OC)=O)cc1,"8,94","9,92","-0,98",0
O=C(C12CC3CC(C1)CC(C2)C3)c4c5ccccc5n(CCCCC)c4,"7,48","8,76","-1,28",0
FCCCCCn1c2ccccc2c(n1)C(=O)C3C(C3(C)C)(C)C,"7,76","9,35","-1,59",0
FC(F)(F)CCCn1cc(C(=O)C2C(C2(C)C)(C)C)c3ccccc31,"7,36","9,08","-1,72",0
O=C(c1cn(CCCC)c(-c2ccccc2)c1)c3cccc4ccccc43,"7,22","7,82","-0,60",0
O=C(c1cn(CCCCC)c(-c2ccc(cc2)C)c1)c3cccc4ccccc43,"6,89","7,74","-0,85",0
Clc1ccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)cc1,"6,56","7,60","-1,04",0
O=C(c1cn(CCCCC)c(-c2ccccc2OC)c1)c3cccc4ccccc43,"7,54","7,70","-0,16",0
Fc1ccccc1-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43,"8,11","8,48","-0,37",0
O=C(c1c2ccccc2n(CCCCCC)c1C)c3cccc4ccc(cc43)C,"7,26","7,49","-0,23",0
O=C(c1cn(CCCCC)c(-c2cccc(c2)C)c1)c3cccc4ccccc43,"7,17","7,41","-0,24",0
O=C(c1cn(CCCCC)c(-c2ccc(CCCC)cc2)c1)c3cccc4ccccc43,"7,38","7,19","0,19",1
O=C(c1cn(c(-c2ccccc2CCCC)c1)CCCCC)c3cccc4ccccc43,"7,22","7,16","0,06",0
Brc1ccc(CC(=O)c2c3ccccc3n(CCCCC)c2)cc1,"5,99","6,18","-0,19",0
Brc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2,"8,08","7,70","0,38",1
O=C(c1cn(CCCCC)c2ccccc21)Cc3ccccc3C,"7,54","6,84","0,70",1
Clc1cccc(CC(=O)c2c3ccccc3n(CCCCC)c2C)c1,"6,93","6,86","0,07",0
Brc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2C,"7,82","7,54","0,28",1
Fc1ccc(CC(=O)c2c3ccccc3n(CCCCC)c2)cc1,"6,37","6,44","-0,07",0
FCCCCCc1cc(O)c2c(OC([C@@H]3CC=C(C[C@@H]23)C)(C)C)c1,"7,24","8,06","-0,82",0
O=C(c1cn(CCCC)c2ccccc21)c3cccc4ccccc43,"8,05","7,42","0,63",1
O[C@@H]1CC[C@H]([C@@H](C1)c2ccc(C(CCCCCC)(C)C)cc2O)CCCO,"9,23","8,74","0,49",1
O[C@H]1CC[C@@H]([C@H](C1)c2ccc(C(CCCCCC)(C)C)cc2O)CCCO,"7,21","7,63","-0,42",0
O=C(NCCO)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,"7,05","6,43","0,62",1
Clc1ccc(c2ccccc12)C(=O)c3cn(CCCCCF)c4ccccc43,"9,11","8,93","0,18",1
O=C(OC)[C@@H](OC(=O)c1c2ccccc2n(n1)CC3CCCCC3)C(C)(C)C,"7,98","8,95","-0,97",0
FCCCCCn1cc(C(=O)N[C@@H](C(C)C)C(=O)N)c2ccccc21,"7,46","7,05","0,41",1
O=C(OC)[C@@H](NC(=O)c1c2ccccc2n(CC3CCCCC3)c1)C(C)(C)C,"9,39","9,46","-0,07",0
FCCCCCn1cc(c2ccccc21)C(=O)N[C@H](C(C)C)C(OC)=O,"7,82","7,70","0,12",1
O=C(NC(c1ccccc1)(C)C)c2c3ccccc3n(n2)CC4CCOCC4,"8,91","8,86","0,05",0
Fc1cccc(Cn2c3ccccc3c(n2)C(=O)N[C@@H](C(C)C)C(=O)N)c1,"7,90","7,28","0,62",1
O=C(c1cn(CCCCC)c2ccccc21)c3ccc(OC)c4ccccc43,"8,92","7,91","1,01",1
FCCCCCn1c2ccccc2c(n1)C(=O)N[C@@H](C(C)C)C(=O)N,"8,30","8,42","-0,12",0
FCCCCCn1c2ccccc2c(n1)C(=O)N[C@H]([C@H](CC)C)C(=O)N,"8,51","8,37","0,14",1
O=C(N)[C@@H](NC(=O)c1c2ccccc2n(n1)CC3CCCCC3)C(C)(C)C,"9,54","9,48","0,06",0
O=C(OC)[C@H](NC(=O)c1c2ccccc2n(n1)CC3CCCCC3)C(C)C,"9,47","9,52","-0,05",0
Ic1ccccc1C(=O)c2c3ccccc3n(CCCCC)c2,"7,87","7,31","0,56",1
O=C(OC)[C@@H](NC(=O)c1ccc2c(c3ccccc3n2CC4CCCCC4)c1)C(C)(C)C,"8,24","8,18","0,06",0
O=C(c1ccc2c(c3ccccc3n2CCCCC)c1)c4cccc5ccccc54,"8,14","8,64","-0,50",0
FCCCCCn1c2ccc(cc2c3ccccc31)C(=O)c4cccc5ccccc54,"7,65","8,36","-0,71",0
O=C(c1c2ccccc2n(CCC)c1C)c3cccc4ccc(cc43)C,"6,46","7,79","-1,33",0
Fc1ccc(-c2cc(cn2CCCCC)C(=O)c3cccc4ccccc43)cc1,"7,39","7,48","-0,09",0
O=C(c1c2ccccc2n(c1CCCC)CCC)c3ccc(OC)c4ccccc43,"7,39","7,23","0,16",1
O=C(c1c2ccccc2n(CCCCC)c1)Cc3ccc(OC)cc3,"5,97","6,35","-0,38",0
Fc1cccc(CC(=O)c2c3ccccc3n(CCCCC)c2)c1,"7,14","7,04","0,10",0
O=C(c1cn(c2ccccc21)CCC)c3ccc(OC)c4ccccc43,"7,20","7,49","-0,29",0
O=C(c1c2ccccc2n(CCCCC)c1)Cc3ccc(C)cc3,"6,75","6,24","0,51",1
FCCCCCn1cc(C(=O)C2C(C2(C)C)(C)C)c3ccccc31,"7,53","9,22","-1,69",0
O=C(c1c2ccccc2n(CCCCC)c1C)Cc3ccccc3OC,"7,60","7,09","0,51",1
O=C(Oc1cccc2ccccc12)c3c4ccccc4n(n3)CCCCC,"8,44","8,58","-0,14",0
O=C(c1cc(n(CCCCC)c1)-c2ccc3ccccc3c2)c4cccc5ccccc54,"6,48","6,77","-0,29",0
Clc1ccccc1CC(=O)c2c3ccccc3n(CCCCC)c2,"8,10","8,15","-0,05",0
O=C(c1cn(CCCCC)c(-c2cccc(OC)c2)c1)c3cccc4ccccc43,"7,28","7,64","-0,36",0
O=C(c1c2ccccc2n(c1CCCCCC)CCCCC)c3ccc(OC)c4ccccc43,"6,34","6,92","-0,58",0
O=C(c1cn(CCCC)c2ccccc21)c3ccc(OC)c4ccccc43,"8,25","8,66","-0,41",0
O=C(c1cn(CCCCCC)c2ccccc21)c3cccc4ccccc43,"8,01","8,26","-0,25",0
FCCCCCn1cc(c2ccccc21)C(=O)c3cccc4ccccc43,"9,00","8,59","0,41",1
Brc1ccc(c2ccccc12)C(=O)c3cn(CCCCC)c4ccccc43,"8,92","8,96","-0,04",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3cccc4ccccc43,"8,02","8,53","-0,51",0
O=C(c1c2ccccc2n(c1C)CC)c3cccc4ccccc43,"5,93","6,02","-0,09",0
O=C(c1cn(c2ccccc21)C)c3cccc4ccccc43,"5,00","5,00","0,00",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3ccc(OC)c4ccccc43,"8,35","8,73","-0,38",0
O=C(c1c2ccccc2n(CCCCC)c1C)c3ccc(CCCC)c4ccccc34,"7,38","8,19","-0,81",0
Brc1ccc(c2ccccc12)C(=O)c3cn(c4ccccc43)CCC,"6,79","7,57","-0,78",0